title,author_name,publication_year,languages
Fantasy Girl,['Carole Mortimer'],1983,"['eng', 'und']"
Her Christmas Fantasy,['Penny Jordan'],1996,['eng']
My Secret Garden,['Nancy Friday'],1973,"['fre', 'dut', 'hrv', 'eng', 'chi']"
Fantasy,['Emma Darcy'],1985,['eng']
Fantasy in death,"['Nora Roberts', 'Susan Ericksen']",2010,"['fre', 'eng']"
Powerless,['Lauren Roberts'],2023,"['eng', 'por', 'spa']"
The Kingdom of Fantasy,"['Elisabetta Dami', 'David Nel·lo', 'Larry Keys', 'Titi Plumederat', 'Koldo Biguri']",2005,"['eng', 'spa', 'dut', 'fre']"
Forbidden Flowers,['Nancy Friday'],1975,['eng']
Fantasy Lover,['Sherrilyn Kenyon'],2002,['eng']
Lilith,['George MacDonald'],1895,"['ger', 'eng', 'fre', 'ita']"
Men in Love: Men's Sexual Fantasies,['Nancy Friday'],1980,"['fre', 'und', 'eng']"
Fantasy for Two,['Penny Jordan'],1998,['eng']
Fantasy encyclopedia,"['Judy Allen', 'Richard Hook', 'Jonathan Stroud', 'John Howe']",2005,['eng']
The ghost,['Arnold Bennett'],1907,['eng']
Restoree,['Anne McCaffrey'],1967,"['eng', 'ger', 'fre']"
Belladonna,['Adalyn Grace'],2022,"['ger', 'eng']"
Dragonsong,['Anne McCaffrey'],1976,"['eng', 'fre', 'por']"
Phantasma,['Kaylie Smith'],2024,"['eng', 'ita', 'dut']"
Castle Roogna,['Piers Anthony'],1979,['eng']
Flight to fantasy,['Margaret Malcolm'],1976,['eng']
