author_key,author_name,cover_edition_key,cover_i,ebook_access,edition_count,first_publish_year,has_fulltext,ia,ia_collection,key,language,public_scan_b,title,lending_edition_s,lending_identifier_s,series_key,series_name,series_position,subtitle,id_standard_ebooks,id_project_gutenberg,id_wikisource,id_librivox,genre
['OL666139A'],['Carole Mortimer'],OL10738221M,8337298.0,printdisabled,6,1983.0,True,"['fantasygirl0000mort_s1b6', 'fantasygirl0000mort']","['internetarchivebooks', 'openlibrary-d-ol', 'printdisabled']",/works/OL3775422W,"['eng', 'und']",False,Fantasy Girl,,,,,,,,,,,fantasy
['OL661093A'],['Penny Jordan'],OL10739155M,6611725.0,borrowable,4,1996.0,True,"['herchristmasfant0000jord', 'herchristmasfant00jord']","['americana', 'inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL3759099W,['eng'],False,Her Christmas Fantasy,OL32104754M,herchristmasfant0000jord,,,,,,,,,fantasy
['OL451969A'],['Emma Darcy'],OL10738383M,5073358.0,borrowable,1,1985.0,True,['fantasy00darc'],"['americana', 'inlibrary', 'internetarchivebooks', 'openlibrary-d-ol', 'printdisabled']",/works/OL2959228W,['eng'],False,Fantasy,OL10738383M,fantasy00darc,,,,,,,,,fantasy
['OL59362A'],['Nancy Friday'],OL11758368M,2787375.0,borrowable,32,1973.0,True,"['diepegrondenerot0000frid', 'mysecretgardenwo0000frid', 'mysecretgarden00nanc_j84', 'mysecretgardenwo00frid', 'mysecretgarden00nanc_h1e']","['americana', 'inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL733144W,"['hrv', 'dut', 'fre', 'chi', 'eng']",False,My Secret Garden,OL32987785M,diepegrondenerot0000frid,,,,,,,,,fantasy
"['OL18977A', 'OL7301162A']","['Nora Roberts', 'Susan Ericksen']",,6305245.0,printdisabled,20,2010.0,True,"['fantasyindeath00robb_0', 'fantaisieducrime0000robe', 'fantasyindeath00nora', 'fantasyindeath00robb', 'fantasyindeath0000robb_o0i7', 'fantasyindeath0000robb', 'fantasyindeath0000robb_a9o6', 'fantasyindeath0000robb_q3u1', 'fantasyindeath0000robb_y2a1']","['americana', 'delawarecountydistrictlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL14873636W,"['fre', 'eng']",False,Fantasy in death,,,,,,,,,,,fantasy
['OL11086929A'],['Lauren Roberts'],OL48316907M,14567864.0,no_ebook,13,2023.0,False,,,/works/OL34774028W,"['spa', 'eng', 'por']",False,Powerless,,,,,,,,,,,fantasy
"['OL2703408A', 'OL7938741A', 'OL4064584A', 'OL8291588A', 'OL12550975A']","['Elisabetta Dami', 'David Nel·lo', 'Larry Keys', 'Titi Plumederat', 'Koldo Biguri']",,14416105.0,borrowable,16,2005.0,True,"['leroyaumedelafan0000unse', 'fantasia0000stil', 'enelreinodelafan0000unse', 'kingdomoffantasy00gero']","['cnusd-ol', 'delawarecountydistrictlibrary-ol', 'denverpubliclibrary-ol', 'hamiltonpubliclibrary-ol', 'inlibrary', 'internetarchivebooks', 'miltonpubliclibrary-ol', 'openlibrary-d-ol', 'printdisabled', 'salisburyfreelibrary-ol', 'spokanepubliclibrary-ol', 'worthingtonlibraries-ol']",/works/OL15493152W,"['fre', 'spa', 'dut', 'eng']",False,The Kingdom of Fantasy,OL29482478M,leroyaumedelafan0000unse,['OL327627L'],['The Kingdom of Fantasy'],['1'],,,,,,fantasy
['OL59362A'],['Nancy Friday'],OL11069633M,5094158.0,printdisabled,24,1975.0,True,"['forbiddenflowers00nanc', 'forbiddenflowers00frid', 'forbiddenflowers00nanc_1']","['americana', 'internetarchivebooks', 'printdisabled']",/works/OL733159W,['eng'],False,Forbidden Flowers,,,,,,more women's sexual fantasies,,,,,fantasy
['OL589683A'],['Sherrilyn Kenyon'],OL3282354M,185094.0,printdisabled,3,2002.0,True,"['fantasylover0000keny', 'fantasylover0000keny_e7w3']","['internetarchivebooks', 'printdisabled']",/works/OL3522021W,['eng'],False,Fantasy Lover,,,,,,,,,,,fantasy
['OL23082A'],['George MacDonald'],OL26320183M,14364546.0,public,480,1895.0,True,"['lilithromance00macd', 'worksmacdonald16macdiala', 'lilitharomance01640gut', 'lilithromance00macduoft', 'lilith00geor', 'lilith0000macd']","['americana', 'cdl', 'gutenberg', 'inlibrary', 'internetarchivebooks', 'kellylibrary', 'library_of_congress', 'printdisabled', 'toronto', 'university_of_toronto']",/works/OL15437W,"['fre', 'ita', 'ger', 'eng']",True,Lilith,OL26320183M,lilithromance00macd,,,,,['george-macdonald/lilith'],['1640'],,,fantasy
['OL661093A'],['Penny Jordan'],OL10241043M,5046391.0,printdisabled,8,1998.0,True,"['fantasyfortwo0000jord_n5v2', 'fantasyfortwo00jord', 'fantasyfortwo00penn', 'fantasyfortwo00jord']","['internetarchivebooks', 'openlibrary-d-ol', 'printdisabled']",/works/OL3759071W,['eng'],False,Fantasy for Two,,,,,,,,,,,fantasy
['OL59362A'],['Nancy Friday'],OL7517890M,280237.0,borrowable,25,1980.0,True,"['lesfantasmesmasc0000frid', 'lesfantasmesmasc0000frid_q6u4', 'meninlove00frid', 'meninlovemenssex00frid', 'meninlove00nanc', 'meninlovemenssex0000frid', 'meninlove0000frid', 'meninlove00frid_0']","['ambslibrary-ol', 'americana', 'binghamton-ol', 'gwulibraries-ol', 'inlibrary', 'internetarchivebooks', 'johnshopkins-ol', 'openlibrary-d-ol', 'printdisabled', 'the-claremont-colleges-ol', 'unb-ol']",/works/OL733143W,"['eng', 'fre', 'und']",False,Men in Love: Men's Sexual Fantasies,OL26444425M,lesfantasmesmasc0000frid,,,,The Triumph of Love Over Rage,,,,,fantasy
['OL29586A'],['Arnold Bennett'],OL6986650M,5877895.0,public,319,1907.0,True,"['ghostmodernfanta00bennrich', 'cihm_73507', 'ghostamodernfan00benngoog', 'ghostafantasiao00benngoog', 'ghostfantasiaonm0000benn']","['americana', 'cdl', 'inlibrary', 'internetarchivebooks', 'microfilm', 'printdisabled', 'toronto', 'university_of_alberta_libraries', 'university_of_alberta_libraries_microfilm']",/works/OL109229W,['eng'],True,The ghost,OL7058219M,ghostmodernfanta00bennrich,,,,,,,,,fantasy
"['OL341438A', 'OL2829436A', 'OL29219A', 'OL1755865A']","['Judy Allen', 'Richard Hook', 'Jonathan Stroud', 'John Howe']",OL23274779M,6498640.0,borrowable,3,2005.0,True,['fantasyencyclope00alle'],"['cnusd-ol', 'denverpubliclibrary-ol', 'framingham-ol', 'inlibrary', 'internetarchivebooks', 'miltonpubliclibrary-ol', 'printdisabled', 'stmaryscountylibrary', 'universityofoklahoma-ol']",/works/OL2457494W,['eng'],False,Fantasy encyclopedia,OL23274779M,fantasyencyclope00alle,,,,,,,,,fantasy
['OL19880A'],['Anne McCaffrey'],OL9330036M,207540.0,printdisabled,21,1967.0,True,"['restoree0000anne', 'restoree00mcca']","['americana', 'internetarchivebooks', 'printdisabled']",/works/OL73383W,"['fre', 'ger', 'eng']",False,Restoree,,,,,,,,,,,fantasy
['OL7823810A'],['Adalyn Grace'],OL36023220M,12905843.0,no_ebook,9,2022.0,False,,,/works/OL26602235W,"['ger', 'eng']",False,Belladonna,,,,,,,,,,,fantasy
['OL19880A'],['Anne McCaffrey'],OL27289770M,8769648.0,borrowable,39,1976.0,True,"['lechantdudragon0000mcca', 'isbn_9789723814996', 'bwb_KR-117-674', 'isbn_0553234609', 'dragonsong00bant', 'dragonsongthehar00anne', 'dragonsong00mcca_0', 'dragonsong0000mcca_z2l5', 'dragonsong0000mcca', 'dragonsong0000mcca_a8y7', 'dragonsong00mcca']","['americana', 'delawarecountydistrictlibrary', 'inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL73385W,"['fre', 'eng', 'por']",False,Dragonsong,OL27254977M,lechantdudragon0000mcca,,,,,,,,,fantasy
['OL1344858A'],['Margaret Malcolm'],OL10690892M,8326012.0,borrowable,1,1976.0,True,['flighttofantasy0000malc'],"['inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL18160399W,['eng'],False,Flight to fantasy,OL10690892M,flighttofantasy0000malc,,,,,,,,,fantasy
['OL10467258A'],['Kaylie Smith'],OL51104480M,14842920.0,no_ebook,5,2024.0,False,,,/works/OL37862524W,"['dut', 'eng', 'ita']",False,Phantasma,,,,,,,,,,,fantasy
['OL19905A'],['Piers Anthony'],OL10683297M,2404630.0,printdisabled,16,1979.0,True,"['castleroogna0000anth', 'castleroognathem00pier', 'castleroogna00pier', 'castleroogna00anth']","['americana', 'delawarecountydistrictlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL80865W,['eng'],False,Castle Roogna,,,,,,,,,,,fantasy
